"shipment_id","carrier","origin_city","destination_city","status","delay_days","cost_usd","weight_kg","shipped_date","delivered_date","destination_region_id"
SH000337,FEDEX,Chennai,Mumbai,pending,7,186.76,484.48,2024-02-13,2024-01-16,4
SH000343,FEDEX,Delhi,Pune,in_transit,5,418.31,337.74,2024-04-10,2024-03-13,3
SH000361,BLUEDART,Delhi,Mumbai,delivered,3,183.66,70.71,2024-03-07,2024-03-27,2
SH000372,FEDEX,Hyderabad,Bangalore,delayed,4,133.55,468.65,2024-02-16,2024-02-25,3
SH000385,DHL,Hyderabad,Mumbai,in_transit,7,322.54,437.40,2024-02-09,2024-05-08,1
SH000398,BLUEDART,Mumbai,Chennai,delivered,2,393.70,391.56,2024-01-13,2024-05-14,4
SH000402,FEDEX,Delhi,Bangalore,delayed,6,388.15,329.44,2024-05-30,2024-05-13,5
SH000408,BLUEDART,Delhi,Mumbai,delivered,1,60.24,1.08,2024-02-21,2024-02-15,2
SH000415,DHL,Delhi,Bangalore,delivered,6,317.84,312.39,2024-02-18,2024-05-29,1
SH000442,FEDEX,Pune,Chennai,delivered,1,159.49,57.21,2024-03-16,2024-02-13,1
SH000459,FEDEX,Chennai,Pune,delayed,2,134.11,76.24,2024-04-22,2024-06-19,1
SH000470,FEDEX,Hyderabad,Pune,delayed,3,347.20,228.64,2024-06-15,2024-06-18,1
SH000472,BLUEDART,Pune,Mumbai,in_transit,8,386.96,429.20,2024-03-28,2024-06-30,2
SH000476,DHL,Hyderabad,Mumbai,delayed,2,389.09,407.46,2024-01-27,2024-01-18,1
SH000481,DHL,Mumbai,Delhi,delayed,10,451.55,446.29,2024-04-22,2024-06-26,5
SH000507,BLUEDART,Delhi,Chennai,pending,6,268.51,443.38,2024-03-07,2024-03-28,3
SH000515,DHL,Bangalore,Mumbai,pending,5,286.98,299.88,2024-02-13,2024-06-14,5
SH000538,FEDEX,Pune,Chennai,in_transit,3,0.00,209.79,2024-05-04,2024-05-02,5
SH000540,DHL,Pune,Pune,pending,9,141.78,71.32,2024-01-26,2024-05-10,4
SH000543,DHL,Delhi,Hyderabad,in_transit,7,222.08,113.29,2024-03-04,2024-04-06,1
SH000561,FEDEX,Mumbai,Bangalore,in_transit,-1,94.54,478.89,2024-06-05,2024-03-24,2
SH000567,FEDEX,Hyderabad,Mumbai,pending,0,388.44,500.48,2024-06-28,2024-03-12,4
SH000572,FEDEX,Hyderabad,Mumbai,delivered,2,378.30,283.96,2024-05-26,2024-04-15,5
SH000578,FEDEX,Pune,Bangalore,in_transit,0,203.75,74.83,2024-01-21,2024-07-02,2
SH000583,BLUEDART,Chennai,Mumbai,in_transit,1,57.15,141.85,2024-06-23,2024-02-26,3
SH000590,DHL,Chennai,Bangalore,in_transit,2,446.96,261.33,2024-04-26,2024-05-07,5
SH000596,FEDEX,Bangalore,Delhi,in_transit,6,300.78,471.32,2024-03-22,2024-05-03,1
SH000597,DHL,Chennai,Hyderabad,delayed,2,481.10,79.15,2024-02-08,2024-03-05,3
SH000614,FEDEX,Delhi,Chennai,delayed,6,179.44,75.30,2024-03-24,2024-04-11,5
SH000623,FEDEX,Delhi,Hyderabad,delayed,4,483.27,340.27,2024-02-18,2024-05-06,3
SH000634,BLUEDART,Delhi,Bangalore,delivered,8,416.25,50.88,2024-05-09,2024-06-27,1
SH000639,DHL,Bangalore,Hyderabad,in_transit,7,215.81,407.18,2024-01-13,2024-04-03,3
SH000644,BLUEDART,Chennai,Hyderabad,in_transit,5,185.85,17.96,2024-03-24,2024-06-22,4
SH000675,BLUEDART,Mumbai,Mumbai,pending,6,215.99,204.26,2024-06-07,2024-06-17,2
SH000688,FEDEX,Hyderabad,Delhi,delivered,-1,383.20,21.55,2024-06-23,2024-06-05,3
SH000694,BLUEDART,Chennai,Delhi,in_transit,3,498.23,6.50,2024-06-10,2024-04-21,5
SH000704,DHL,Delhi,Bangalore,in_transit,1,329.57,11.35,2024-04-14,2024-02-03,5
SH000718,DHL,Chennai,Delhi,delayed,4,197.71,399.30,2024-05-18,2024-02-19,5
SH000728,FEDEX,Delhi,Hyderabad,delayed,3,404.36,491.48,2024-01-26,2024-02-01,4
SH000734,FEDEX,Hyderabad,Hyderabad,in_transit,0,329.28,189.49,2024-01-19,2024-02-06,2
SH000755,FEDEX,Mumbai,Bangalore,delivered,9,319.24,416.43,2024-06-16,2024-05-15,3
SH000766,DHL,Hyderabad,Delhi,in_transit,1,260.42,78.77,2024-02-10,2024-02-23,1
SH000784,FEDEX,Delhi,Mumbai,delayed,7,110.82,33.93,2024-05-01,2024-03-13,5
SH000786,DHL,Delhi,Bangalore,in_transit,7,233.29,24.05,2024-01-18,2024-02-07,5
SH000793,BLUEDART,Hyderabad,Chennai,pending,1,395.99,71.39,2024-02-05,2024-04-06,1
SH000800,BLUEDART,Delhi,Hyderabad,in_transit,6,159.35,378.92,2024-05-18,2024-05-02,3
SH000809,BLUEDART,Mumbai,Pune,delivered,4,469.67,101.90,2024-05-03,2024-05-31,4
SH000813,DHL,Delhi,Hyderabad,delivered,8,416.00,101.35,2024-04-03,2024-01-14,4
SH000831,FEDEX,Pune,Bangalore,pending,8,168.28,79.28,2024-01-31,2024-04-01,3
SH000837,DHL,Hyderabad,Hyderabad,pending,-1,321.46,402.22,2024-06-28,2024-06-07,1
SH000844,DHL,Mumbai,Bangalore,delayed,4,345.87,485.97,2024-02-23,2024-04-16,1
SH000884,DHL,Chennai,Mumbai,in_transit,3,290.58,150.60,2024-06-27,2024-02-19,5
SH000893,DHL,Pune,Mumbai,pending,3,322.59,289.96,2024-01-20,2024-06-14,2
SH000905,FEDEX,Bangalore,Bangalore,delayed,10,225.50,297.70,2024-02-27,2024-03-15,3
SH000908,FEDEX,Pune,Hyderabad,delayed,2,182.68,24.04,2024-02-11,2024-05-07,1
SH000920,BLUEDART,Chennai,Delhi,delayed,9,147.40,258.48,2024-04-04,2024-02-26,3
SH000970,FEDEX,Bangalore,Delhi,delayed,9,144.74,387.46,2024-05-16,2024-01-13,2
SH000983,DHL,Pune,Mumbai,delayed,3,68.98,415.41,2024-03-20,2024-01-18,3
SH001009,DHL,Pune,Mumbai,delivered,9,481.04,77.48,2024-04-01,2024-05-23,1
SH001028,DHL,Pune,Mumbai,pending,9,418.68,397.13,2024-02-28,2024-02-16,1
SH001045,DHL,Chennai,Bangalore,pending,2,327.21,307.00,2024-02-24,2024-02-13,4
SH001051,FEDEX,Pune,Pune,delivered,8,74.63,74.72,2024-04-05,2024-06-04,3
SH001058,BLUEDART,Chennai,Pune,delayed,1,453.06,37.91,2024-05-24,2024-03-16,3
SH001060,FEDEX,Mumbai,Mumbai,delayed,2,171.73,111.18,2024-01-10,2024-02-02,4
SH001079,FEDEX,Hyderabad,Pune,in_transit,4,445.42,23.66,2024-01-25,2024-03-25,3
SH001090,DHL,Hyderabad,Chennai,delivered,5,174.07,491.19,2024-04-23,2024-05-16,5
SH001092,FEDEX,Hyderabad,Chennai,in_transit,5,250.55,481.87,2024-06-27,2024-01-20,1
SH001093,FEDEX,Delhi,Pune,in_transit,5,470.22,181.92,2024-05-06,2024-02-28,5
SH001094,FEDEX,Delhi,Mumbai,delayed,2,277.22,449.27,2024-04-22,2024-03-17,5
SH001095,FEDEX,Chennai,Pune,in_transit,8,258.35,451.37,2024-05-27,2024-03-07,2
SH001100,DHL,Delhi,Mumbai,in_transit,2,229.03,193.76,2024-01-02,2024-05-08,3
SH001101,FEDEX,Chennai,Chennai,delayed,6,0.00,347.68,2024-04-25,2024-02-14,2
SH001107,FEDEX,Hyderabad,Hyderabad,in_transit,7,215.36,494.90,2024-01-22,2024-04-21,4
SH001110,DHL,Chennai,Pune,pending,6,182.52,236.15,2024-02-20,2024-03-03,5
SH001120,DHL,Hyderabad,Mumbai,pending,5,241.81,108.06,2024-06-09,2024-04-29,5
SH001146,FEDEX,Pune,Hyderabad,delayed,2,439.29,459.77,2024-01-14,2024-05-02,1
SH001164,DHL,Delhi,Hyderabad,in_transit,8,346.30,443.24,2024-03-30,2024-03-16,2
SH001184,FEDEX,Chennai,Mumbai,delayed,2,119.69,432.18,2024-05-19,2024-01-18,3
SH001227,FEDEX,Hyderabad,Bangalore,delayed,6,395.08,353.93,2024-05-07,2024-06-13,4
SH001266,FEDEX,Chennai,Hyderabad,in_transit,1,416.32,246.16,2024-04-15,2024-04-24,5
SH001270,DHL,Mumbai,Bangalore,in_transit,2,487.59,183.88,2024-05-20,2024-05-03,2
SH001274,FEDEX,Delhi,Hyderabad,delivered,6,265.80,125.71,2024-03-24,2024-06-03,3
SH001287,FEDEX,Chennai,Chennai,delivered,8,355.92,355.28,2024-01-02,2024-02-04,3
SH001303,DHL,Delhi,Mumbai,delayed,9,437.01,450.23,2024-06-05,2024-03-17,2
SH001330,DHL,Pune,Pune,pending,4,147.17,280.50,2024-03-09,2024-06-11,1
SH001333,BLUEDART,Delhi,Chennai,in_transit,7,202.79,275.14,2024-03-02,2024-02-09,3
SH001357,DHL,Pune,Bangalore,pending,8,250.84,6.32,2024-04-24,2024-04-19,2
SH001360,BLUEDART,Pune,Mumbai,in_transit,2,452.51,305.73,2024-06-05,2024-04-08,3
SH001367,DHL,Delhi,Mumbai,in_transit,4,497.40,192.17,2024-03-06,2024-04-06,3
SH001379,FEDEX,Pune,Mumbai,in_transit,8,115.56,431.24,2024-01-07,2024-02-17,5
SH001419,DHL,Pune,Pune,delayed,10,259.33,138.39,2024-01-25,2024-03-17,4
SH001420,BLUEDART,Delhi,Bangalore,delayed,4,270.24,343.21,2024-02-02,2024-06-27,1
SH001426,BLUEDART,Pune,Delhi,delivered,4,147.18,464.32,2024-05-31,2024-01-14,1
SH001429,BLUEDART,Chennai,Bangalore,in_transit,-1,112.10,348.84,2024-01-03,2024-04-13,2
SH001433,FEDEX,Mumbai,Pune,pending,2,404.50,30.48,2024-01-22,2024-05-03,4
SH001434,BLUEDART,Hyderabad,Bangalore,in_transit,9,467.37,136.89,2024-06-19,2024-02-08,1
SH001439,DHL,Bangalore,Delhi,delayed,4,301.83,172.28,2024-03-31,2024-03-26,3
SH001462,FEDEX,Delhi,Bangalore,delayed,5,492.99,150.02,2024-02-07,2024-06-06,1
SH001463,BLUEDART,Delhi,Chennai,delayed,6,489.52,488.96,2024-03-27,2024-05-24,2
SH001465,DHL,Chennai,Chennai,delayed,2,332.33,107.12,2024-05-24,2024-04-05,5
SH001466,FEDEX,Hyderabad,Pune,pending,1,497.91,456.78,2024-03-29,2024-02-08,4
SH001470,DHL,Pune,Chennai,in_transit,6,271.61,98.47,2024-02-28,2024-03-10,2
SH001480,DHL,Pune,Pune,in_transit,3,331.45,122.11,2024-01-24,2024-02-09,5
SH001484,FEDEX,Delhi,Bangalore,pending,-1,291.15,356.71,2024-06-29,2024-03-17,2
SH001491,FEDEX,Bangalore,Hyderabad,pending,0,172.96,444.43,2024-02-26,2024-02-11,5
SH001503,BLUEDART,Chennai,Chennai,pending,10,442.18,46.79,2024-02-08,2024-01-11,4
SH001510,DHL,Hyderabad,Pune,in_transit,6,271.88,474.21,2024-03-10,2024-06-19,2
SH001513,BLUEDART,Chennai,Mumbai,in_transit,1,0.00,374.26,2024-02-11,2024-03-15,3
SH001534,FEDEX,Bangalore,Chennai,delivered,7,200.63,439.90,2024-02-25,2024-06-17,4
SH001545,DHL,Chennai,Mumbai,pending,6,476.50,324.13,2024-05-02,2024-01-21,1
SH001556,DHL,Pune,Mumbai,delayed,6,226.26,151.77,2024-04-11,2024-03-29,1
SH001562,FEDEX,Delhi,Pune,in_transit,9,370.11,372.23,2024-02-15,2024-04-02,1
SH001565,DHL,Chennai,Mumbai,in_transit,2,471.98,33.30,2024-03-21,2024-02-09,3
SH001570,DHL,Chennai,Mumbai,pending,9,81.48,126.26,2024-02-11,2024-06-12,2
SH001585,FEDEX,Delhi,Pune,delayed,7,0.00,63.10,2024-01-31,2024-06-12,5
SH001592,FEDEX,Delhi,Bangalore,delayed,6,78.45,173.83,2024-04-23,2024-05-01,2
SH001595,FEDEX,Hyderabad,Bangalore,delivered,0,181.35,8.53,2024-03-20,2024-03-24,4
SH001596,DHL,Hyderabad,Bangalore,delayed,9,193.63,187.34,2024-03-31,2024-03-08,5
SH001605,BLUEDART,Mumbai,Pune,delayed,4,190.14,180.49,2024-06-22,2024-05-28,1
SH001612,DHL,Pune,Mumbai,in_transit,10,246.52,319.90,2024-02-17,2024-03-22,4
SH001615,DHL,Mumbai,Bangalore,in_transit,3,291.01,215.28,2024-01-27,2024-01-24,5
SH001627,FEDEX,Delhi,Mumbai,delayed,9,281.21,97.90,2024-01-05,2024-04-28,1
SH001631,BLUEDART,Pune,Chennai,delivered,8,457.35,236.14,2024-06-22,2024-04-14,2
SH001649,BLUEDART,Delhi,Bangalore,in_transit,9,444.91,168.02,2024-06-16,2024-04-19,5
SH001652,BLUEDART,Chennai,Mumbai,delayed,9,428.36,450.88,2024-02-15,2024-03-13,5
SH001653,BLUEDART,Mumbai,Hyderabad,in_transit,5,472.82,420.68,2024-05-13,2024-04-08,3
SH001655,FEDEX,Delhi,Chennai,in_transit,0,467.49,1.46,2024-04-01,2024-06-21,5
SH001669,FEDEX,Delhi,Mumbai,delayed,7,302.70,265.30,2024-01-24,2024-03-09,2
SH001682,FEDEX,Delhi,Chennai,in_transit,9,294.10,245.74,2024-02-20,2024-05-29,4
SH001729,FEDEX,Delhi,Chennai,in_transit,2,207.70,333.80,2024-04-11,2024-05-02,3
SH001733,DHL,Hyderabad,Pune,pending,7,214.73,1.24,2024-01-08,2024-04-14,2
SH001743,DHL,Delhi,Bangalore,delayed,1,309.60,129.23,2024-06-08,2024-01-21,4
SH001753,BLUEDART,Mumbai,Mumbai,delivered,5,369.12,314.47,2024-01-18,2024-03-24,3
SH001770,FEDEX,Chennai,Bangalore,delayed,4,427.07,229.95,2024-04-05,2024-02-05,1
SH001797,DHL,Delhi,Chennai,delivered,7,237.41,404.98,2024-02-25,2024-03-02,4
SH001801,BLUEDART,Delhi,Mumbai,in_transit,7,241.10,271.75,2024-06-16,2024-05-18,5
SH001831,FEDEX,Delhi,Chennai,in_transit,4,175.66,102.48,2024-01-08,2024-04-16,5
SH001849,BLUEDART,Hyderabad,Chennai,delivered,8,398.85,323.60,2024-06-09,2024-01-31,1
SH001851,BLUEDART,Pune,Chennai,delivered,1,168.50,115.30,2024-04-12,2024-04-01,3
SH001852,DHL,Pune,Chennai,in_transit,3,122.55,126.41,2024-01-20,2024-03-01,2
SH001854,BLUEDART,Chennai,Bangalore,in_transit,9,234.39,246.77,2024-05-29,2024-05-12,4
SH001870,DHL,Mumbai,Chennai,pending,5,428.05,107.38,2024-02-12,2024-05-13,2
SH001888,DHL,Hyderabad,Bangalore,pending,6,74.86,299.33,2024-06-22,2024-05-17,2
SH001897,DHL,Bangalore,Chennai,in_transit,-1,331.41,430.03,2024-05-30,2024-01-27,1
SH001898,DHL,Delhi,Mumbai,in_transit,0,353.87,297.33,2024-06-20,2024-04-01,2
SH001907,FEDEX,Delhi,Delhi,delayed,3,371.18,459.38,2024-02-21,2024-05-07,4
SH001915,FEDEX,Pune,Mumbai,delayed,3,272.80,462.71,2024-01-31,2024-03-21,2
SH001931,DHL,Pune,Delhi,in_transit,8,236.98,99.56,2024-04-20,2024-03-17,5
SH001984,FEDEX,Bangalore,Chennai,delayed,2,494.91,423.49,2024-06-08,2024-01-05,3
SH002013,DHL,Mumbai,Chennai,in_transit,1,55.03,307.29,2024-02-01,2024-03-23,4
SH002026,FEDEX,Delhi,Chennai,delayed,1,400.65,435.74,2024-04-08,2024-05-27,3
SH002038,FEDEX,Chennai,Chennai,in_transit,1,434.50,459.96,2024-03-09,2024-03-22,2
SH002047,DHL,Hyderabad,Hyderabad,delayed,8,291.48,172.30,2024-01-25,2024-04-18,1
SH002050,FEDEX,Chennai,Delhi,in_transit,6,122.09,191.73,2024-04-02,2024-03-16,4
SH002062,FEDEX,Pune,Bangalore,in_transit,3,101.12,416.64,2024-02-02,2024-02-29,2
SH002072,DHL,Hyderabad,Pune,delayed,9,480.79,462.43,2024-03-13,2024-04-16,3
SH002088,FEDEX,Hyderabad,Pune,delivered,6,107.33,444.37,2024-03-22,2024-06-07,3
SH002105,DHL,Chennai,Chennai,in_transit,2,457.01,338.12,2024-01-19,2024-05-18,2
SH002118,FEDEX,Pune,Pune,delayed,6,278.70,43.82,2024-06-26,2024-05-01,1
SH002146,DHL,Chennai,Chennai,pending,-1,111.21,391.33,2024-05-20,2024-04-30,5
SH002177,BLUEDART,Hyderabad,Pune,in_transit,3,106.60,434.32,2024-04-06,2024-05-23,3
SH002179,BLUEDART,Hyderabad,Hyderabad,in_transit,2,374.55,4.46,2024-04-09,2024-06-22,5
SH002186,FEDEX,Chennai,Chennai,delivered,4,200.74,339.32,2024-03-09,2024-02-28,2
SH002221,DHL,Chennai,Mumbai,delivered,9,215.75,168.12,2024-02-20,2024-05-16,5
SH002228,FEDEX,Chennai,Chennai,pending,6,166.80,419.57,2024-02-22,2024-05-25,3
SH002261,BLUEDART,Chennai,Hyderabad,delayed,0,463.95,352.67,2024-02-01,2024-03-04,5
SH002270,DHL,Delhi,Pune,delayed,8,404.48,475.95,2024-04-28,2024-03-31,5
SH002283,FEDEX,Bangalore,Bangalore,in_transit,4,0.00,365.22,2024-04-11,2024-04-12,1
SH002305,FEDEX,Delhi,Mumbai,delivered,3,201.43,439.59,2024-02-22,2024-02-08,4
SH002318,BLUEDART,Delhi,Mumbai,in_transit,-1,222.11,212.27,2024-06-10,2024-02-02,3
SH002323,DHL,Delhi,Chennai,delayed,6,184.73,462.30,2024-01-27,2024-04-14,1
SH002326,FEDEX,Chennai,Chennai,in_transit,2,344.40,445.54,2024-04-05,2024-06-20,5
SH002329,DHL,Delhi,Bangalore,delayed,0,285.28,116.64,2024-03-17,2024-04-01,2
SH002359,FEDEX,Delhi,Pune,in_transit,5,476.76,216.71,2024-06-17,2024-04-19,5
SH002363,DHL,Hyderabad,Chennai,delivered,3,401.95,381.63,2024-01-29,2024-05-11,1
SH002365,FEDEX,Hyderabad,Mumbai,in_transit,9,352.86,130.03,2024-05-26,2024-03-08,1
SH002368,DHL,Chennai,Mumbai,delivered,3,173.04,50.88,2024-02-04,2024-01-13,5
SH002372,FEDEX,Mumbai,Hyderabad,in_transit,0,164.05,144.38,2024-04-16,2024-04-23,3
SH002383,FEDEX,Bangalore,Pune,delivered,10,113.85,376.27,2024-05-26,2024-03-04,5
SH002406,FEDEX,Delhi,Hyderabad,delivered,2,269.32,379.04,2024-04-24,2024-05-12,5
SH002407,BLUEDART,Pune,Chennai,pending,1,308.20,472.32,2024-04-07,2024-03-12,2
SH002409,DHL,Hyderabad,Mumbai,delivered,-1,393.37,92.33,2024-01-12,2024-06-02,2
SH002421,FEDEX,Chennai,Pune,delayed,3,498.58,481.77,2024-02-06,2024-01-29,5
SH002425,FEDEX,Mumbai,Bangalore,in_transit,3,486.88,244.84,2024-02-28,2024-05-25,5
SH002449,DHL,Chennai,Mumbai,in_transit,6,155.67,494.56,2024-04-24,2024-01-16,2
SH002454,FEDEX,Mumbai,Pune,delivered,-1,154.18,288.14,2024-04-22,2024-01-20,2
SH002458,DHL,Delhi,Chennai,delayed,3,0.00,405.11,2024-06-08,2024-04-07,1
SH002464,FEDEX,Chennai,Pune,in_transit,5,407.00,120.64,2024-02-16,2024-04-04,3
SH002469,DHL,Mumbai,Chennai,in_transit,1,280.53,31.42,2024-06-12,2024-04-07,2
SH002479,DHL,Delhi,Chennai,in_transit,9,177.13,331.50,2024-06-27,2024-05-07,4
SH002499,BLUEDART,Hyderabad,Pune,delivered,4,258.42,136.15,2024-02-25,2024-07-05,4
SH002525,BLUEDART,Hyderabad,Mumbai,pending,-1,210.34,452.67,2024-04-12,2024-01-28,3
SH002529,FEDEX,Chennai,Bangalore,delayed,2,437.16,414.41,2024-03-05,2024-05-04,4
SH002550,DHL,Hyderabad,Pune,delayed,9,183.12,231.17,2024-01-16,2024-02-02,5
SH002561,DHL,Delhi,Pune,delayed,7,496.01,313.30,2024-05-03,2024-06-11,2
SH002564,BLUEDART,Pune,Delhi,in_transit,5,454.32,94.78,2024-06-27,2024-04-10,2
SH002582,DHL,Chennai,Delhi,delayed,7,244.80,33.10,2024-06-12,2024-06-21,5
SH002590,BLUEDART,Pune,Chennai,in_transit,3,386.39,180.59,2024-05-09,2024-02-15,4
SH002592,BLUEDART,Delhi,Chennai,delivered,5,483.27,223.53,2024-02-25,2024-02-03,2
SH002607,FEDEX,Hyderabad,Hyderabad,delivered,2,297.04,201.58,2024-05-26,2024-02-23,5
SH002609,FEDEX,Pune,Mumbai,in_transit,4,213.28,112.74,2024-06-15,2024-06-25,4
SH002630,DHL,Chennai,Mumbai,in_transit,-1,289.70,429.69,2024-05-07,2024-04-25,4
SH002638,BLUEDART,Chennai,Bangalore,delivered,10,293.34,71.42,2024-02-11,2024-06-27,1
SH002643,FEDEX,Hyderabad,Hyderabad,pending,6,270.71,292.99,2024-03-24,2024-03-19,5
SH002645,FEDEX,Delhi,Mumbai,in_transit,0,112.45,117.16,2024-03-08,2024-04-28,1
SH002665,BLUEDART,Pune,Bangalore,delivered,5,432.81,323.51,2024-03-24,2024-03-21,5
SH002669,DHL,Delhi,Chennai,delayed,5,51.22,270.05,2024-01-26,2024-01-27,2
SH002676,FEDEX,Pune,Mumbai,delayed,6,342.58,425.92,2024-05-12,2024-05-18,3
SH002695,DHL,Bangalore,Mumbai,delayed,8,381.38,107.28,2024-03-14,2024-05-26,2
SH002737,FEDEX,Hyderabad,Mumbai,delayed,9,389.77,28.17,2024-06-04,2024-01-16,4
SH002751,DHL,Delhi,Hyderabad,delayed,6,171.10,316.73,2024-01-22,2024-02-14,3
SH002767,DHL,Mumbai,Mumbai,delayed,1,431.59,313.23,2024-04-26,2024-04-05,2
SH002771,FEDEX,Bangalore,Mumbai,in_transit,4,245.53,123.55,2024-02-29,2024-03-11,1
SH002772,FEDEX,Bangalore,Chennai,delivered,7,276.13,115.64,2024-06-07,2024-07-05,4
SH002779,BLUEDART,Bangalore,Mumbai,in_transit,10,480.69,165.21,2024-05-17,2024-05-21,2
SH002815,DHL,Chennai,Pune,pending,9,277.59,210.35,2024-05-21,2024-03-22,5
SH002830,DHL,Bangalore,Pune,in_transit,3,438.96,478.42,2024-02-29,2024-02-19,4
SH002835,FEDEX,Bangalore,Chennai,delivered,2,209.36,311.17,2024-03-22,2024-06-01,2
SH002844,FEDEX,Hyderabad,Hyderabad,in_transit,5,435.33,162.45,2024-01-27,2024-01-10,2
SH002850,BLUEDART,Hyderabad,Mumbai,delayed,9,262.34,18.35,2024-01-18,2024-06-14,5
SH002885,BLUEDART,Hyderabad,Pune,delayed,10,404.08,486.03,2024-05-31,2024-01-31,1
SH002891,FEDEX,Bangalore,Delhi,in_transit,4,456.47,141.06,2024-02-21,2024-04-27,3
SH002908,FEDEX,Mumbai,Delhi,delivered,3,82.33,226.44,2024-01-06,2024-05-01,5
SH002912,FEDEX,Pune,Pune,pending,6,279.53,499.01,2024-04-29,2024-03-25,3
SH002915,FEDEX,Delhi,Chennai,pending,1,213.33,320.31,2024-01-05,2024-04-22,5
SH002920,DHL,Pune,Bangalore,delayed,2,136.68,238.00,2024-06-28,2024-06-06,2
SH002958,FEDEX,Bangalore,Mumbai,in_transit,3,358.03,242.02,2024-02-07,2024-01-09,2
SH002966,FEDEX,Pune,Chennai,pending,5,92.86,244.95,2024-01-27,2024-02-09,5
SH002971,DHL,Hyderabad,Pune,pending,10,256.76,311.02,2024-01-16,2024-05-08,2
SH003012,DHL,Hyderabad,Delhi,delayed,10,418.02,177.20,2024-02-08,2024-04-21,2
SH003017,FEDEX,Delhi,Chennai,delayed,0,382.14,116.63,2024-02-26,2024-06-08,4
SH003023,BLUEDART,Mumbai,Mumbai,in_transit,7,365.56,374.88,2024-06-26,2024-05-08,1
SH003034,DHL,Chennai,Delhi,delivered,8,132.98,437.71,2024-01-14,2024-04-08,4
SH003055,DHL,Hyderabad,Mumbai,delivered,4,258.21,217.95,2024-05-10,2024-04-05,4
SH003070,DHL,Hyderabad,Chennai,delayed,3,245.36,140.47,2024-02-21,2024-06-11,4
SH003092,BLUEDART,Pune,Chennai,delayed,2,292.04,163.15,2024-06-02,2024-02-24,3
SH003097,BLUEDART,Delhi,Bangalore,pending,6,139.67,47.86,2024-02-02,2024-03-18,3
SH003103,BLUEDART,Bangalore,Mumbai,in_transit,2,339.29,269.81,2024-06-25,2024-06-13,1
SH003125,FEDEX,Chennai,Mumbai,delayed,4,367.26,437.50,2024-06-18,2024-01-14,3
SH003128,FEDEX,Chennai,Pune,delivered,7,334.82,465.23,2024-06-20,2024-06-07,4
SH003135,FEDEX,Bangalore,Mumbai,delivered,4,471.81,423.92,2024-06-21,2024-06-06,5
SH003149,FEDEX,Chennai,Hyderabad,pending,3,121.32,81.30,2024-01-30,2024-01-21,2
SH003156,DHL,Pune,Chennai,delayed,9,261.98,329.92,2024-02-12,2024-01-09,2
SH003170,DHL,Pune,Bangalore,in_transit,0,119.70,403.54,2024-03-25,2024-02-27,4
SH003180,FEDEX,Chennai,Chennai,pending,6,312.90,478.63,2024-05-13,2024-03-04,1
